car_model,price,year_model,kms,color,fueltype
Chevrolet Spark 1.2 Gt M300 Ltz,$29.500.000,2015,85.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$32.750.000,2017,75.040,Azul,Gasolina y gas
Chevrolet Spark Gt 1.2,$33.600.000,2017,104.000,Color not found,Gasolina
Chevrolet Spark 1.0 Lt M200,$24.000.000,2014,86.000,Azul,Gasolina
Chevrolet Spark Gt 1.2 Ltz,$35.200.000,2017,87.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$27.000.000,2017,115.800,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$33.000.000,2015,79.000,Negro,Gasolina
Chevrolet Spark Coopebombas 2014,$45.000.000,2014,0,Amarillo,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$36.000.000,2018,70.904,Gris,Gasolina
Chevrolet Spark GT LS 1.2,$38.990.000,2020,71.000,Rojo,Gasolina
Chevrolet Spark 1.0 Life,$32.000.000,2018,27.685,Plateado,Gasolina
Chevrolet  Spark  Gt  Ltz   2016,$36.400.000,2016,60.870,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$29.950.000,2014,99.921,Negro,Gasolina
Chevrolet Spark Gt Ltz,$33.400.000,2017,56.000,Rojo,Gasolina
Chevrolet Spark Gt,$35.900.000,2017,73.000,Gris,Gasolina
Chevrolet Spark 1.0 Go,$21.000.000,2010,57.000,Marrón,Gasolina
Chevrolet Spark 1.0 Life,$24.500.000,2016,104.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt Lt,$38.000.000,2019,64.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$46.000.000,2019,46.000,Plateado,Gasolina
Chevrolet Spark 1.0 Life,$26.500.000,2018,96.000,Gris,Gasolina
Chevrolet Spark Gt Active 2022,$48.000.000,2022,20.000,Negro,Gasolina
Chevrolet Spark GT 1.2 Ls,$34.200.000,2019,57.000,Gris,Gasolina
Chevrolet Spark 1.0 Life,$24.000.000,2016,85.363,Gris,Gasolina
Chevrolet Spark Gt,$28.500.000,2014,102.000,Rojo,Gasolina
Chevrolet Spark 1.0 Lt M200,$27.000.000,2014,53.800,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$22.900.000,2013,87.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ltz,$35.000.000,2019,44.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$28.500.000,2019,54.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$34.000.000,2016,46.375,Azul,Gasolina
Chevrolet Spark 1.0 Go,$20.500.000,2009,197.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Lt,$42.000.000,2019,21.000,Azul,Gasolina
Chevrolet Spark Gt Ltz,$33.500.000,2016,81.700,Gris,Gasolina
Chevrolet Spark Gt Gt,$25.700.000,2012,136.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Lt,$35.500.000,2018,46.300,Plateado,Gasolina
Chevrolet Spark 1.0 Life,$22.999.000,2018,79.000,Color not found,Gasolina
Chevrolet Spark Gt,$31.900.000,2016,165.883,Plateado,Gasolina
Chevrolet Spark Gt Ltz 2017 Con 77 Mil Km,$33.900.000,2017,77.000,Plateado,Gasolina
Chevrolet Spark GT 1.2 Ltz,$36.500.000,2018,72.000,Color not found,Gasolina
Chevrolet Spark GT 1.2 Ltz,$37.500.000,2018,75.927,Negro,Gasolina
Chevrolet Spark GT 1.2 Ls,$35.900.000,2020,55.000,Color not found,Gasolina
 ,0,0,0,,
Chevrolet Spark 1.0l,$26.300.000,2017,81.400,Gris,Gasolina
Chevrolet Sparkgt,$29.500.000,2014,180.642,Gris,Gasolina
Chevrolet Spark GT 1.2 Lt,$39.000.000,2020,46.000,Color not found,Gasolina
Chevrolet Spark Gt 2013,$27.500.000,2013,142.000,Plateado,Gasolina
Chevrolet Spark 1.0 Lt M200,$17.000.000,2007,141.000,Gris,Gasolina
